cloud,instance,compute,compute_label,plan,vcpu,memory,baserate,dburate,hourrate,selector,region,storage
AWS,c4.8xlarge,DLT Advanced Compute,DLT Advanced Compute ($0.36/DBU),Standard,36,60,0.36,4.000,1.4400,c4.8xlarge | 36CPUs | 60GB | 4DBU/hr | $1.44/hr,,
AWS,c4.8xlarge,DLT Advanced Compute,DLT Advanced Compute ($0.36/DBU),Premium,36,60,0.36,4.000,1.4400,c4.8xlarge | 36CPUs | 60GB | 4DBU/hr | $1.44/hr,,
AWS,c4.8xlarge,DLT Advanced Compute,DLT Advanced Compute ($0.36/DBU),Enterprise,36,60,0.36,4.000,1.4400,c4.8xlarge | 36CPUs | 60GB | 4DBU/hr | $1.44/hr,,
AWS,c4.8xlarge,DLT Core Compute,DLT Core Compute ($0.20/DBU),Standard,36,60,0.20,4.000,0.8000,c4.8xlarge | 36CPUs | 60GB | 4DBU/hr | $0.8/hr,,
AWS,c4.8xlarge,DLT Core Compute,DLT Core Compute ($0.20/DBU),Premium,36,60,0.20,4.000,0.8000,c4.8xlarge | 36CPUs | 60GB | 4DBU/hr | $0.8/hr,,
AWS,c4.8xlarge,DLT Core Compute,DLT Core Compute ($0.20/DBU),Enterprise,36,60,0.20,4.000,0.8000,c4.8xlarge | 36CPUs | 60GB | 4DBU/hr | $0.8/hr,,
AWS,c4.8xlarge,DLT Pro Compute,DLT Pro Compute ($0.25/DBU),Standard,36,60,0.25,4.000,1.0000,c4.8xlarge | 36CPUs | 60GB | 4DBU/hr | $1/hr,,
AWS,c4.8xlarge,DLT Pro Compute,DLT Pro Compute ($0.25/DBU),Premium,36,60,0.25,4.000,1.0000,c4.8xlarge | 36CPUs | 60GB | 4DBU/hr | $1/hr,,
AWS,c4.8xlarge,DLT Pro Compute,DLT Pro Compute ($0.25/DBU),Enterprise,36,60,0.25,4.000,1.0000,c4.8xlarge | 36CPUs | 60GB | 4DBU/hr | $1/hr,,
AWS,c4.8xlarge,Jobs Compute,Jobs Compute ($0.10/DBU),Standard,36,60,0.10,4.000,0.4000,c4.8xlarge | 36CPUs | 60GB | 4DBU/hr | $0.4/hr,,
AWS,c4.8xlarge,Jobs Compute,Jobs Compute ($0.15/DBU),Premium,36,60,0.15,4.000,0.6000,c4.8xlarge | 36CPUs | 60GB | 4DBU/hr | $0.6/hr,,
AWS,c4.8xlarge,Jobs Compute,Jobs Compute ($0.20/DBU),Enterprise,36,60,0.20,4.000,0.8000,c4.8xlarge | 36CPUs | 60GB | 4DBU/hr | $0.8/hr,,
AWS,c4.8xlarge,Jobs Light Compute,Jobs Light Compute ($0.07/DBU),Standard,36,60,0.07,3.860,0.2702,c4.8xlarge | 36CPUs | 60GB | 3.86DBU/hr | $0.2702/hr,,
AWS,c4.8xlarge,Jobs Light Compute,Jobs Light Compute ($0.10/DBU),Premium,36,60,0.10,3.860,0.3860,c4.8xlarge | 36CPUs | 60GB | 3.86DBU/hr | $0.386/hr,,
AWS,c4.8xlarge,Jobs Light Compute,Jobs Light Compute ($0.13/DBU),Enterprise,36,60,0.13,3.860,0.5018,c4.8xlarge | 36CPUs | 60GB | 3.86DBU/hr | $0.5018/hr,,
AWS,c5.12xlarge,All-Purpose Compute,All-Purpose Compute ($0.40/DBU),Standard,48,96,0.40,7.280,2.9120,c5.12xlarge | 48CPUs | 96GB | 7.28DBU/hr | $2.912/hr,,
AWS,c5.12xlarge,All-Purpose Compute,All-Purpose Compute ($0.55/DBU),Premium,48,96,0.55,7.280,4.0040,c5.12xlarge | 48CPUs | 96GB | 7.28DBU/hr | $4.004/hr,,
AWS,c5.12xlarge,All-Purpose Compute,All-Purpose Compute ($0.65/DBU),Enterprise,48,96,0.65,7.280,4.7320,c5.12xlarge | 48CPUs | 96GB | 7.28DBU/hr | $4.732/hr,,
AWS,c5.12xlarge,DLT Advanced Compute,DLT Advanced Compute ($0.36/DBU),Standard,48,96,0.36,7.280,2.6208,c5.12xlarge | 48CPUs | 96GB | 7.28DBU/hr | $2.6208/hr,,
AWS,c5.12xlarge,DLT Advanced Compute,DLT Advanced Compute ($0.36/DBU),Premium,48,96,0.36,7.280,2.6208,c5.12xlarge | 48CPUs | 96GB | 7.28DBU/hr | $2.6208/hr,,
AWS,c5.12xlarge,DLT Advanced Compute,DLT Advanced Compute ($0.36/DBU),Enterprise,48,96,0.36,7.280,2.6208,c5.12xlarge | 48CPUs | 96GB | 7.28DBU/hr | $2.6208/hr,,
AWS,c5.12xlarge,DLT Core Compute,DLT Core Compute ($0.20/DBU),Standard,48,96,0.20,7.280,1.4560,c5.12xlarge | 48CPUs | 96GB | 7.28DBU/hr | $1.456/hr,,
AWS,c5.12xlarge,DLT Core Compute,DLT Core Compute ($0.20/DBU),Premium,48,96,0.20,7.280,1.4560,c5.12xlarge | 48CPUs | 96GB | 7.28DBU/hr | $1.456/hr,,
AWS,c5.12xlarge,DLT Core Compute,DLT Core Compute ($0.20/DBU),Enterprise,48,96,0.20,7.280,1.4560,c5.12xlarge | 48CPUs | 96GB | 7.28DBU/hr | $1.456/hr,,
AWS,c5.12xlarge,DLT Pro Compute,DLT Pro Compute ($0.25/DBU),Standard,48,96,0.25,7.280,1.8200,c5.12xlarge | 48CPUs | 96GB | 7.28DBU/hr | $1.82/hr,,
